,points
1672960200,"{'v': [2.1802225776511843, 36006978.86, 2662926431.186021, 0.00012946848863215727, 158132.96491760196], 'c': [2.1802225776511843, 36006978.86, 2662926431.186021]}"
1672961100,"{'v': [2.186904832250475, 36029628.92, 2671088144.845337, 0.00012987122576285225, 158624.86852466536], 'c': [2.186904832250475, 36029628.92, 2671088144.845337]}"
1672961700,"{'v': [2.184812568589065, 36040170.01, 2668532651.5383277, 0.00012979422707575693, 158530.8222373117], 'c': [2.184812568589065, 36040170.01, 2668532651.5383277]}"
1672962600,"{'v': [2.1875481300527237, 35927950.63, 2671873869.540738, 0.00012988476621095032, 158641.40684396363], 'c': [2.1875481300527237, 35927950.63, 2671873869.540738]}"
1672963500,"{'v': [2.187653566538668, 35865423.63, 2672002649.7891912, 0.00012993162574522407, 158698.64113446668], 'c': [2.187653566538668, 35865423.63, 2672002649.7891912]}"
1672964400,"{'v': [2.1868923128124194, 35811565.34, 2671072853.5889106, 0.00012989602447963775, 158655.15770663446], 'c': [2.1868923128124194, 35811565.34, 2671072853.5889106]}"
1672965300,"{'v': [2.1861578834879625, 35833996.79, 2670175820.744658, 0.00012971110353066973, 158429.2950411733], 'c': [2.1861578834879625, 35833996.79, 2670175820.744658]}"
1672966200,"{'v': [2.1886360950310464, 35767396.97, 2673202711.2501483, 0.00012980601347010215, 158545.2181532847], 'c': [2.1886360950310464, 35767396.97, 2673202711.2501483]}"
1672967100,"{'v': [2.1906359027623408, 35780658.9, 2675645278.7749243, 0.0001299374450667109, 158705.74886060331], 'c': [2.1906359027623408, 35780658.9, 2675645278.7749243]}"
1672968000,"{'v': [2.1936470118611453, 35776395.02, 2679323050.984324, 0.00013007425607246322, 158872.849984603], 'c': [2.1936470118611453, 35776395.02, 2679323050.984324]}"
1672968600,"{'v': [2.1935245876865803, 35773335.61, 2679173521.952927, 0.00013015170014281865, 158967.44026359657], 'c': [2.1935245876865803, 35773335.61, 2679173521.952927]}"
1672969500,"{'v': [2.1937774238111096, 35768446.11, 2679482336.294027, 0.00013015229749071923, 158968.1698650278], 'c': [2.1937774238111096, 35768446.11, 2679482336.294027]}"
1672970400,"{'v': [2.1905340937086897, 35731588.16, 2675520929.076558, 0.00013010842225419524, 158914.58059932073], 'c': [2.1905340937086897, 35731588.16, 2675520929.076558]}"
1672971300,"{'v': [2.1853309503617484, 35702492.02, 2669165803.6476917, 0.00012990373774217142, 158664.57869460245], 'c': [2.1853309503617484, 35702492.02, 2669165803.6476917]}"
1672972200,"{'v': [2.1834548612441966, 35532371.84, 2666874346.1838527, 0.00012972189918162945, 158442.48086200512], 'c': [2.1834548612441966, 35532371.84, 2666874346.1838527]}"
1672973100,"{'v': [2.1807738361537052, 35431612.05, 2663599738.972036, 0.00012953788109252014, 158217.72095064167], 'c': [2.1807738361537052, 35431612.05, 2663599738.972036]}"
1672974000,"{'v': [2.1790769402332333, 35436804.21, 2661527148.2907376, 0.00012941693644216774, 158069.99901186564], 'c': [2.1790769402332333, 35436804.21, 2661527148.2907376]}"
1672974900,"{'v': [2.175254074880525, 35418692.83, 2656857896.034136, 0.00012922366663439938, 157833.9390404057], 'c': [2.175254074880525, 35418692.83, 2656857896.034136]}"
1672975500,"{'v': [2.168625777758999, 35340085.72, 2648762086.101885, 0.0001287988229678296, 157315.03448431703], 'c': [2.168625777758999, 35340085.72, 2648762086.101885]}"
1672976400,"{'v': [2.1617837077715083, 35566142.64, 2640405173.738679, 0.00012840078742753613, 156828.87340532258], 'c': [2.1617837077715083, 35566142.64, 2640405173.738679]}"
1672977300,"{'v': [2.164413616332312, 35545537.74, 2643617347.1607666, 0.00012852940726563414, 156985.96982747552], 'c': [2.164413616332312, 35545537.74, 2643617347.1607666]}"
1672978200,"{'v': [2.170380583180887, 35642546.78, 2650905407.516604, 0.0001289083014277794, 157448.7516045937], 'c': [2.170380583180887, 35642546.78, 2650905407.516604]}"
1672979100,"{'v': [2.1823533353969635, 36015484.41, 2665528941.2131405, 0.0001297479336263296, 158474.2793635086], 'c': [2.1823533353969635, 36015484.41, 2665528941.2131405]}"
1672980000,"{'v': [2.1641296273953814, 36176767.49, 2643270482.7378087, 0.00012867937340591817, 157169.13864832843], 'c': [2.1641296273953814, 36176767.49, 2643270482.7378087]}"
1672980900,"{'v': [2.1657201774576884, 36194496.47, 2645213182.4623504, 0.000128714045052105, 157211.48663792826], 'c': [2.1657201774576884, 36194496.47, 2645213182.4623504]}"
1672981800,"{'v': [2.1648355205819887, 36067250.67, 2644132661.5095906, 0.00012868111528120636, 157171.2661768626], 'c': [2.1648355205819887, 36067250.67, 2644132661.5095906]}"
1672982400,"{'v': [2.171855274964272, 36107444.86, 2652706597.8024416, 0.0001291205919253291, 157708.043469016], 'c': [2.171855274964272, 36107444.86, 2652706597.8024416]}"
1672983300,"{'v': [2.1746861294974527, 36219056.85, 2656164206.8725076, 0.00012931872957178014, 157950.04902439186], 'c': [2.1746861294974527, 36219056.85, 2656164206.8725076]}"
1672984200,"{'v': [2.1686490312167, 36186422.38, 2648790487.902583, 0.00012902375547055523, 157589.76730879134], 'c': [2.1686490312167, 36186422.38, 2648790487.902583]}"
1672985100,"{'v': [2.1729632785398048, 36113213.02, 2654059914.6781497, 0.00012922596305422584, 157836.74389029382], 'c': [2.1729632785398048, 36113213.02, 2654059914.6781497]}"
1672986000,"{'v': [2.17406883307215, 36077825.88, 2655410240.2896156, 0.00012931667482760735, 157947.5393574326], 'c': [2.17406883307215, 36077825.88, 2655410240.2896156]}"
1672986900,"{'v': [2.178301134049015, 36081575.75, 2660579577.701106, 0.00012967067213398784, 158379.91208551655], 'c': [2.178301134049015, 36081575.75, 2660579577.701106]}"
1672987800,"{'v': [2.1755599165901325, 35974865.23, 2657231451.4594493, 0.00012952054076832565, 158196.5414581916], 'c': [2.1755599165901325, 35974865.23, 2657231451.4594493]}"
1672988700,"{'v': [2.1757337486472372, 36001871.87, 2657443770.1392927, 0.0001295859125828525, 158276.38666965882], 'c': [2.1757337486472372, 36001871.87, 2657443770.1392927]}"
1672989300,"{'v': [2.1769841402835373, 36015435.63, 2658970999.9605823, 0.00012967487531811056, 158385.045859568], 'c': [2.1769841402835373, 36015435.63, 2658970999.9605823]}"
1672990200,"{'v': [2.172079765243357, 36030208.33, 2652980790.494439, 0.0001292837992826951, 157907.38512805075], 'c': [2.172079765243357, 36030208.33, 2652980790.494439]}"
1672991100,"{'v': [2.172329040645554, 36027586.37, 2653285255.7650766, 0.0001293147212222542, 157945.15322154702], 'c': [2.172329040645554, 36027586.37, 2653285255.7650766]}"
1672992000,"{'v': [2.170634381074907, 36045485.3, 2651215396.5640955, 0.00012922841569920092, 157839.73955376295], 'c': [2.170634381074907, 36045485.3, 2651215396.5640955]}"
1672992900,"{'v': [2.1706444560174183, 35929757.16, 2651227702.1107774, 0.00012920581833295714, 157812.1391039453], 'c': [2.1706444560174183, 35929757.16, 2651227702.1107774]}"
1672993800,"{'v': [2.1657424589002994, 36000487.02, 2645240397.04267, 0.00012884178615570158, 157367.50977272337], 'c': [2.1657424589002994, 36000487.02, 2645240397.04267]}"
1672994700,"{'v': [2.169278151750748, 36032396.01, 2649558896.465861, 0.0001290417817627643, 157611.78464338457], 'c': [2.169278151750748, 36032396.01, 2649558896.465861]}"
1672995600,"{'v': [2.1696419835788925, 35920455.22, 2650003281.0904417, 0.00012907996425792008, 157658.4207880614], 'c': [2.1696419835788925, 35920455.22, 2650003281.0904417]}"
1672996200,"{'v': [2.1700510347844038, 35953959.03, 2650502896.715943, 0.00012918957795355837, 157792.30308536778], 'c': [2.1700510347844038, 35953959.03, 2650502896.715943]}"
1672997100,"{'v': [2.1689121251081565, 35740047.82, 2649111831.092322, 0.00012927749303959837, 157899.68267528474], 'c': [2.1689121251081565, 35740047.82, 2649111831.092322]}"
1672998000,"{'v': [2.1672156311153703, 35802880.72, 2647039731.3259735, 0.00012919544414576145, 157799.46805945257], 'c': [2.1672156311153703, 35802880.72, 2647039731.3259735]}"
1672998900,"{'v': [2.166364002747963, 35792216.24, 2645999551.432249, 0.0001290362145599631, 157604.9848553083], 'c': [2.166364002747963, 35792216.24, 2645999551.432249]}"
1672999800,"{'v': [2.1657550150762543, 35504175.44, 2645255733.1708097, 0.0001290158533215397, 157580.11561465135], 'c': [2.1657550150762543, 35504175.44, 2645255733.1708097]}"
1673000700,"{'v': [2.171707090983125, 35457712.53, 2652525605.7128634, 0.00012932626531334313, 157959.25318803664], 'c': [2.171707090983125, 35457712.53, 2652525605.7128634]}"
1673001600,"{'v': [2.1697335012064873, 35404925.69, 2650115060.8288684, 0.00012918127460677728, 157782.16136780306], 'c': [2.1697335012064873, 35404925.69, 2650115060.8288684]}"
1673002500,"{'v': [2.169279762689144, 35398637.23, 2649560864.06792, 0.0001292728942324898, 157894.06568685113], 'c': [2.169279762689144, 35398637.23, 2649560864.06792]}"
1673003100,"{'v': [2.1719531852028147, 35410076.81, 2652826185.4834294, 0.00012950183574499146, 158173.69512060058], 'c': [2.1719531852028147, 35410076.81, 2652826185.4834294]}"
1673004000,"{'v': [2.1685089861087548, 35392927.88, 2648619436.642346, 0.0001294267689862489, 158082.00849281857], 'c': [2.1685089861087548, 35392927.88, 2648619436.642346]}"
1673004900,"{'v': [2.162655079736676, 35391572.94, 2641469468.4860253, 0.0001291696209176531, 157767.9275381438], 'c': [2.162655079736676, 35391572.94, 2641469468.4860253]}"
1673005800,"{'v': [2.1629497998925222, 35376870.37, 2641829440.03244, 0.0001291027291145902, 157686.22581088357], 'c': [2.1629497998925222, 35376870.37, 2641829440.03244]}"
1673006700,"{'v': [2.149254347820579, 35422371.14, 2625101798.69744, 0.00012833121797496208, 156743.9011937871], 'c': [2.149254347820579, 35422371.14, 2625101798.69744]}"
1673007600,"{'v': [2.147599580992663, 35433679.59, 2623080664.5395436, 0.0001283069751373654, 156714.29096331573], 'c': [2.147599580992663, 35433679.59, 2623080664.5395436]}"
1673008500,"{'v': [2.14997395178493, 35533169.56, 2625980723.8293505, 0.00012851904833233153, 156973.3174141058], 'c': [2.14997395178493, 35533169.56, 2625980723.8293505]}"
1673009400,"{'v': [2.145360238215359, 35626725.56, 2620345528.626681, 0.00012818555929476657, 156565.99350977343], 'c': [2.145360238215359, 35626725.56, 2620345528.626681]}"
1673010000,"{'v': [2.148765622902012, 35639863.98, 2624504869.5047183, 0.00012837481529908673, 156797.1510169614], 'c': [2.148765622902012, 35639863.98, 2624504869.5047183]}"
1673010900,"{'v': [2.145646991163331, 35706483.53, 2620695769.015989, 0.00012832675798565686, 156738.4537575825], 'c': [2.145646991163331, 35706483.53, 2620695769.015989]}"
1673011800,"{'v': [2.1447205358355843, 35753163.24, 2619564195.3845353, 0.00012816844999145554, 156545.09618650324], 'c': [2.1447205358355843, 35753163.24, 2619564195.3845353]}"
1673012700,"{'v': [2.1470435727927617, 35887522.64, 2622401555.467539, 0.00012799892238942172, 156338.03497316703], 'c': [2.1470435727927617, 35887522.64, 2622401555.467539]}"
1673013600,"{'v': [2.1522721131005698, 36098124.38, 2628787700.7744017, 0.00012832826345741225, 156740.29254256247], 'c': [2.1522721131005698, 36098124.38, 2628787700.7744017]}"
1673014500,"{'v': [2.147144624302135, 36164222.13, 2622524979.900429, 0.00012811837094451155, 156483.92957942252], 'c': [2.147144624302135, 36164222.13, 2622524979.900429]}"
1673015400,"{'v': [2.1490537349623104, 36217998.77, 2624856769.9154267, 0.00012820033458021737, 156584.04006087265], 'c': [2.1490537349623104, 36217998.77, 2624856769.9154267]}"
1673016300,"{'v': [2.147510185544292, 36113372.98, 2622971476.8333273, 0.0001281978173992439, 156580.9655730588], 'c': [2.147510185544292, 36113372.98, 2622971476.8333273]}"
1673016900,"{'v': [2.1439115325762534, 36148604.46, 2618576077.848156, 0.00012799059976118847, 156327.8697052139], 'c': [2.1439115325762534, 36148604.46, 2618576077.848156]}"
1673017800,"{'v': [2.1484640096621845, 36179724.53, 2624136478.7373877, 0.00012808075980207505, 156437.9912856318], 'c': [2.1484640096621845, 36179724.53, 2624136478.7373877]}"
1673018700,"{'v': [2.156124868680686, 36299628.1, 2633493460.99006, 0.00012852251286792432, 156977.54900197044], 'c': [2.156124868680686, 36299628.1, 2633493460.99006]}"
1673019600,"{'v': [2.1520814432256294, 36311011.23, 2628554816.3639684, 0.00012814986342696435, 156522.39453468297], 'c': [2.1520814432256294, 36311011.23, 2628554816.3639684]}"
1673020500,"{'v': [2.1527046292480287, 36315520.02, 2629315976.5077095, 0.00012798636441472514, 156322.69664804166], 'c': [2.1527046292480287, 36315520.02, 2629315976.5077095]}"
1673021400,"{'v': [2.1563347439384484, 36365400.3, 2633749802.8777533, 0.000128215932980713, 156603.0919656597], 'c': [2.1563347439384484, 36365400.3, 2633749802.8777533]}"
1673022300,"{'v': [2.1458508367049958, 36317524.8, 2620944746.20132, 0.0001276473242023724, 155908.59253226753], 'c': [2.1458508367049958, 36317524.8, 2620944746.20132]}"
1673022900,"{'v': [2.146180813692684, 36324214, 2621347780.483785, 0.00012765323165823297, 155915.80790583233], 'c': [2.146180813692684, 36324214, 2621347780.483785]}"
1673023800,"{'v': [2.1492145206556166, 36397698.11, 2625053153.751119, 0.0001278266525686356, 156127.6244106082], 'c': [2.1492145206556166, 36397698.11, 2625053153.751119]}"
1673024700,"{'v': [2.149333173727232, 36442030.03, 2625198076.752919, 0.00012770810156472254, 155982.82607442004], 'c': [2.149333173727232, 36442030.03, 2625198076.752919]}"
1673025600,"{'v': [2.1528815219085553, 36478352.73, 2629532033.4121866, 0.0001280421051025862, 156390.7783900249], 'c': [2.1528815219085553, 36478352.73, 2629532033.4121866]}"
1673026500,"{'v': [2.165258097313101, 36685888.37, 2644648797.2280345, 0.000128716140842939, 157214.04643932806], 'c': [2.165258097313101, 36685888.37, 2644648797.2280345]}"
1673027400,"{'v': [2.1654453009215597, 36701335.15, 2644877447.9364934, 0.0001287800828171235, 157292.14524211243], 'c': [2.1654453009215597, 36701335.15, 2644877447.9364934]}"
1673028300,"{'v': [2.164846846077124, 36676675.89, 2644146494.4827247, 0.00012862198873413752, 157099.04894244426], 'c': [2.164846846077124, 36676675.89, 2644146494.4827247]}"
1673029200,"{'v': [2.1597818737968155, 36857718.5, 2637960131.3578234, 0.00012826958001052458, 156668.6165112287], 'c': [2.1597818737968155, 36857718.5, 2637960131.3578234]}"
1673029800,"{'v': [2.163597066212999, 36916979.75, 2642620011.880692, 0.0001284074504773116, 156837.0116621874], 'c': [2.163597066212999, 36916979.75, 2642620011.880692]}"
1673030700,"{'v': [2.1641579008857765, 36919056.11, 2643305016.012368, 0.00012840032792070782, 156828.3121631398], 'c': [2.1641579008857765, 36919056.11, 2643305016.012368]}"
1673031600,"{'v': [2.167745714700779, 36888330.51, 2647687176.0432205, 0.00012866382118637083, 157150.14314900615], 'c': [2.167745714700779, 36888330.51, 2647687176.0432205]}"
1673032500,"{'v': [2.179076044400361, 36997078.11, 2661526054.1194096, 0.00012933718168820207, 157972.58646118158], 'c': [2.179076044400361, 36997078.11, 2661526054.1194096]}"
1673033400,"{'v': [2.1809487387887274, 36924745.33, 2663813365.2570124, 0.000129327823527547, 157961.1563927055], 'c': [2.1809487387887274, 36924745.33, 2663813365.2570124]}"
1673034300,"{'v': [2.180129657198554, 37009090.01, 2662812938.035439, 0.00012898990486063706, 157548.42213385974], 'c': [2.180129657198554, 37009090.01, 2662812938.035439]}"
1673035200,"{'v': [2.169152784212338, 37215689.23, 2649405772.406388, 0.00012806986197434755, 156424.6806659751], 'c': [2.169152784212338, 37215689.23, 2649405772.406388]}"
1673036100,"{'v': [2.1782947396593983, 37376728.19, 2660571767.5860767, 0.0001283334852149372, 156746.67040337034], 'c': [2.1782947396593983, 37376728.19, 2660571767.5860767]}"
1673036700,"{'v': [2.173374231147994, 37385284.52, 2654561852.6791267, 0.00012808822024879107, 156447.10348406152], 'c': [2.173374231147994, 37385284.52, 2654561852.6791267]}"
1673037600,"{'v': [2.171688415725122, 37369806.16, 2652502795.730683, 0.00012812387028600294, 156490.6464816148], 'c': [2.171688415725122, 37369806.16, 2652502795.730683]}"
1673038500,"{'v': [2.1697201964455815, 37404418.3, 2650098810.3781853, 0.00012821481941368656, 156601.7318535785], 'c': [2.1697201964455815, 37404418.3, 2650098810.3781853]}"
1673039400,"{'v': [2.1674259453524853, 37319214.41, 2647296609.383567, 0.00012822445221606762, 156613.49736978306], 'c': [2.1674259453524853, 37319214.41, 2647296609.383567]}"
1673040300,"{'v': [2.1686241930983465, 37398844, 2648760150.5954924, 0.0001281833529010828, 156563.2986179223], 'c': [2.1686241930983465, 37398844, 2648760150.5954924]}"
1673041200,"{'v': [2.171857411255053, 37429976.93, 2652709207.070524, 0.0001282266831068514, 156616.222182421], 'c': [2.171857411255053, 37429976.93, 2652709207.070524]}"
1673042100,"{'v': [2.1662392537606703, 37367946.1, 2645847182.8718414, 0.00012798988426779273, 156326.99580073537], 'c': [2.1662392537606703, 37367946.1, 2645847182.8718414]}"
1673043000,"{'v': [2.1645754345061214, 37381316.15, 2643814992.069365, 0.0001278208042167142, 156120.4812266645], 'c': [2.1645754345061214, 37381316.15, 2643814992.069365]}"
1673043600,"{'v': [2.1632998310985063, 37375362.25, 2642256968.5608163, 0.00012766796384701206, 155933.80181860583], 'c': [2.1632998310985063, 37375362.25, 2642256968.5608163]}"
1673044500,"{'v': [2.161383913965014, 37404031.54, 2639916865.1112704, 0.0001274854431257088, 155710.8707940491], 'c': [2.161383913965014, 37404031.54, 2639916865.1112704]}"
1673045400,"{'v': [2.1580686304105936, 37459988.01, 2635867573.8625517, 0.0001273075008899771, 155493.53193717657], 'c': [2.1580686304105936, 37459988.01, 2635867573.8625517]}"
1673046300,"{'v': [2.157970454071127, 37556421.84, 2635747661.1655807, 0.000127272198189344, 155450.41317693083], 'c': [2.157970454071127, 37556421.84, 2635747661.1655807]}"
1673047200,"{'v': [2.166589782605033, 37656595.84, 2646275319.2163205, 0.0001276692453279838, 155935.36702097816], 'c': [2.166589782605033, 37656595.84, 2646275319.2163205]}"
1673048100,"{'v': [2.1649970396688283, 37655019.09, 2644329941.113011, 0.00012762911877020253, 155886.35639591466], 'c': [2.1649970396688283, 37655019.09, 2644329941.113011]}"
1673049000,"{'v': [2.1659121121044183, 37880094.48, 2645447611.666541, 0.00012770296094225084, 155976.54731206203], 'c': [2.1659121121044183, 37880094.48, 2645447611.666541]}"
1673049900,"{'v': [2.166107748727109, 37884106.43, 2645686562.468542, 0.00012780984448078242, 156107.09499225396], 'c': [2.166107748727109, 37884106.43, 2645686562.468542]}"
1673050500,"{'v': [2.1598491098294583, 37864767.84, 2638042253.527499, 0.00012750050729422183, 155729.27018726166], 'c': [2.1598491098294583, 37864767.84, 2638042253.527499]}"
1673051400,"{'v': [2.1615736114326403, 37868703.28, 2640148561.822262, 0.00012756261759031164, 155805.131776258], 'c': [2.1615736114326403, 37868703.28, 2640148561.822262]}"
1673052300,"{'v': [2.167432788043501, 37878053.2, 2647304967.054455, 0.00012783088163910756, 156132.7898022772], 'c': [2.167432788043501, 37878053.2, 2647304967.054455]}"
1673053200,"{'v': [2.16464451051275, 37786341.39, 2643899361.5854397, 0.00012757685906688665, 155822.52633256593], 'c': [2.16464451051275, 37786341.39, 2643899361.5854397]}"
1673054100,"{'v': [2.1661719381282154, 37784682.94, 2645764963.4788613, 0.00012767055130501572, 155936.9621428673], 'c': [2.1661719381282154, 37784682.94, 2645764963.4788613]}"
1673055000,"{'v': [2.166090381984646, 37751014.5, 2645665350.708788, 0.00012780242483340754, 156098.0326261877], 'c': [2.166090381984646, 37751014.5, 2645665350.708788]}"
1673055900,"{'v': [2.167448400075032, 37714113.89, 2647324035.6082044, 0.0001277799166302018, 156070.54108021], 'c': [2.167448400075032, 37714113.89, 2647324035.6082044]}"
1673056800,"{'v': [2.1681622349353598, 37711772.79, 2648195914.349648, 0.00012789235493309168, 156207.87335614936], 'c': [2.1681622349353598, 37711772.79, 2648195914.349648]}"
1673057400,"{'v': [2.1737190573929093, 37735586.98, 2654983023.861906, 0.00012819818239713396, 156581.41138191285], 'c': [2.1737190573929093, 37735586.98, 2654983023.861906]}"
1673058300,"{'v': [2.179262309273633, 37861760.7, 2661753558.255603, 0.00012855320321815625, 157015.03423198903], 'c': [2.179262309273633, 37861760.7, 2661753558.255603]}"
1673059200,"{'v': [2.164195977745511, 37951692.94, 2643351523.1338167, 0.00012767692729360783, 155944.74978286374], 'c': [2.164195977745511, 37951692.94, 2643351523.1338167]}"
1673060100,"{'v': [2.161217684415551, 37956860.38, 2639713832.1432395, 0.00012755751847403878, 155798.90370962027], 'c': [2.161217684415551, 37956860.38, 2639713832.1432395]}"
1673061000,"{'v': [2.1649701211337695, 37960314.83, 2644297062.7824993, 0.00012779889040830477, 156093.715675193], 'c': [2.1649701211337695, 37960314.83, 2644297062.7824993]}"
1673061900,"{'v': [2.167399265483486, 37970894.7, 2647264022.5600624, 0.00012783791311926147, 156141.37806044138], 'c': [2.167399265483486, 37970894.7, 2647264022.5600624]}"
1673062800,"{'v': [2.1634863960007205, 37795976.22, 2642484839.152714, 0.0001276230941866179, 155878.99796240934], 'c': [2.1634863960007205, 37795976.22, 2642484839.152714]}"
1673063700,"{'v': [2.1625963052359998, 37779031, 2641397681.2414865, 0.0001275907343288094, 155839.47359386506], 'c': [2.1625963052359998, 37779031, 2641397681.2414865]}"
1673064300,"{'v': [2.161968493259897, 37668504.67, 2640630870.952429, 0.0001275429871318367, 155781.15511109313], 'c': [2.161968493259897, 37668504.67, 2640630870.952429]}"
1673065200,"{'v': [2.1653530048795786, 37319318.29, 2644764717.441816, 0.00012775485424582877, 156039.92985433814], 'c': [2.1653530048795786, 37319318.29, 2644764717.441816]}"
1673066100,"{'v': [2.1658387117446813, 37198049.21, 2645357960.380472, 0.00012781851708659156, 156117.68772323162], 'c': [2.1658387117446813, 37198049.21, 2645357960.380472]}"
1673067000,"{'v': [2.1676765614594693, 37155244.15, 2647602712.192615, 0.00012793544223242435, 156260.50023444038], 'c': [2.1676765614594693, 37155244.15, 2647602712.192615]}"
1673067900,"{'v': [2.1669821640470475, 37121841.66, 2646754574.3729997, 0.000127897530942621, 156214.19534030132], 'c': [2.1669821640470475, 37121841.66, 2646754574.3729997]}"
1673068800,"{'v': [2.1683719158982115, 37156960.89, 2648452018.925308, 0.00012798111610798932, 156316.2863599963], 'c': [2.1683719158982115, 37156960.89, 2648452018.925308]}"
1673069700,"{'v': [2.1701077413497485, 36498753.68, 2650572158.181825, 0.0001280731492242034, 156428.69571683125], 'c': [2.1701077413497485, 36498753.68, 2650572158.181825]}"
1673070600,"{'v': [2.1725455593952714, 36474279.41, 2653549712.0216904, 0.00012824844170737683, 156642.7981627997], 'c': [2.1725455593952714, 36474279.41, 2653549712.0216904]}"
1673071200,"{'v': [2.174911777138444, 36455367.82, 2656439813.167704, 0.0001284040045634624, 156832.80281894235], 'c': [2.174911777138444, 36455367.82, 2656439813.167704]}"
1673072100,"{'v': [2.1733552348547, 36416633.91, 2654538650.584063, 0.00012837030902960284, 156791.64705409188], 'c': [2.1733552348547, 36416633.91, 2654538650.584063]}"
1673073000,"{'v': [2.1730388619747667, 36292064.75, 2654152232.374876, 0.00012834497724194109, 156760.70677872497], 'c': [2.1730388619747667, 36292064.75, 2654152232.374876]}"
1673073900,"{'v': [2.1737125319988713, 36279706.07, 2654975053.7379217, 0.00012833497295533722, 156748.48753125194], 'c': [2.1737125319988713, 36279706.07, 2654975053.7379217]}"
1673074800,"{'v': [2.172403841621648, 36217188.18, 2653376617.765618, 0.00012824181895424323, 156634.7091243009], 'c': [2.172403841621648, 36217188.18, 2653376617.765618]}"
1673075700,"{'v': [2.168471739388789, 36128178.92, 2648573943.4545913, 0.00012801519736732126, 156357.91325039428], 'c': [2.168471739388789, 36128178.92, 2648573943.4545913]}"
1673076600,"{'v': [2.1696869952283317, 36075050.17, 2650058258.3722258, 0.00012803287105733673, 156379.4999162518], 'c': [2.1696869952283317, 36075050.17, 2650058258.3722258]}"
1673077500,"{'v': [2.1700725609766254, 36070178.11, 2650529188.832545, 0.00012803679447640837, 156384.29198493945], 'c': [2.1700725609766254, 36070178.11, 2650529188.832545]}"
1673078100,"{'v': [2.1732190783808836, 36042666.99, 2654372348.9061427, 0.00012821281534246222, 156599.28407861825], 'c': [2.1732190783808836, 36042666.99, 2654372348.9061427]}"
1673079000,"{'v': [2.1685885617450458, 36035132.57, 2648716630.4184904, 0.00012794270417828475, 156269.36998369062], 'c': [2.1685885617450458, 36035132.57, 2648716630.4184904]}"
1673079900,"{'v': [2.1777720121320585, 36027823.08, 2659933307.5668426, 0.00012857781071064957, 157045.08985238185], 'c': [2.1777720121320585, 36027823.08, 2659933307.5668426]}"
1673080800,"{'v': [2.1739378929359825, 36042177.02, 2655250309.8526607, 0.00012836563681919497, 156785.94041078183], 'c': [2.1739378929359825, 36042177.02, 2655250309.8526607]}"
1673081700,"{'v': [2.171521189200583, 36085015.43, 2652298545.0561166, 0.00012821848533818006, 156606.2094180843], 'c': [2.171521189200583, 36085015.43, 2652298545.0561166]}"
1673082600,"{'v': [2.168832495018478, 36089112.71, 2649014570.8067455, 0.00012809898816530476, 156460.25543000826], 'c': [2.168832495018478, 36089112.71, 2649014570.8067455]}"
1673083500,"{'v': [2.1682902642384674, 36291185.92, 2648352289.4916663, 0.00012806750093571418, 156421.79689059992], 'c': [2.1682902642384674, 36291185.92, 2648352289.4916663]}"
1673084100,"{'v': [2.171742032283952, 36342137.36, 2652568283.058959, 0.000128284024633193, 156686.25919041503], 'c': [2.171742032283952, 36342137.36, 2652568283.058959]}"
1673085000,"{'v': [2.1776979501348706, 36450331.79, 2659842848.15601, 0.00012861837011259934, 157094.62915382392], 'c': [2.1776979501348706, 36450331.79, 2659842848.15601]}"
1673085900,"{'v': [2.1716852787634844, 36531545.22, 2652498964.242034, 0.0001282735124499245, 156673.419597356], 'c': [2.1716852787634844, 36531545.22, 2652498964.242034]}"
1673086800,"{'v': [2.1754516132006825, 36664699.37, 2657099169.5716686, 0.000128484139457482, 156930.6796731372], 'c': [2.1754516132006825, 36664699.37, 2657099169.5716686]}"
1673087700,"{'v': [2.17351730886496, 36663563.33, 2654736607.971604, 0.00012842444336442084, 156857.76679457122], 'c': [2.17351730886496, 36663563.33, 2654736607.971604]}"
1673088600,"{'v': [2.1694319355523155, 36644962.42, 2649746728.182714, 0.00012820982372721253, 156595.6301162192], 'c': [2.1694319355523155, 36644962.42, 2649746728.182714]}"
1673089500,"{'v': [2.169400394891813, 36599004.61, 2649708204.3827267, 0.00012819462439109006, 156577.0656291288], 'c': [2.169400394891813, 36599004.61, 2649708204.3827267]}"
1673090400,"{'v': [2.1661245047808415, 36574961.7, 2645707028.33236, 0.00012805118118266865, 156401.86392495644], 'c': [2.1661245047808415, 36574961.7, 2645707028.33236]}"
1673091000,"{'v': [2.1673710801255193, 36561226.58, 2647229596.930555, 0.0001280650913157616, 156418.85377794408], 'c': [2.1673710801255193, 36561226.58, 2647229596.930555]}"
1673091900,"{'v': [2.167160873798713, 36514834.84, 2646972850.67474, 0.0001280388583653988, 156386.81282138982], 'c': [2.167160873798713, 36514834.84, 2646972850.67474]}"
1673092800,"{'v': [2.165793874612513, 36333955.98, 2645303196.254289, 0.00012797130533046707, 156304.30346474407], 'c': [2.165793874612513, 36333955.98, 2645303196.254289]}"
1673093700,"{'v': [2.1717403686487597, 36274804.49, 2652566251.0929704, 0.00012838830639724214, 156813.6290601814], 'c': [2.1717403686487597, 36274804.49, 2652566251.0929704]}"
1673094600,"{'v': [2.165623023502223, 36232675.18, 2645094518.506406, 0.00012799140044398655, 156328.8476601291], 'c': [2.165623023502223, 36232675.18, 2645094518.506406]}"
