,points
1672855800,"{'v': [2.2182564231591226, 41018451.12, 2709381015.007388, 0.0001312074479107514, 160256.93183418774], 'c': [2.2182564231591226, 41018451.12, 2709381015.007388]}"
1672856700,"{'v': [2.222829275826569, 40899266.45, 2714966302.6559463, 0.00013136673146108628, 160451.48095068065], 'c': [2.222829275826569, 40899266.45, 2714966302.6559463]}"
1672857600,"{'v': [2.220459442482074, 40898154.89, 2712071785.410207, 0.00013104625757870316, 160060.05377225825], 'c': [2.220459442482074, 40898154.89, 2712071785.410207]}"
1672858500,"{'v': [2.2241764040054144, 40978026.56, 2716611686.604546, 0.0001311070314829311, 160134.28309065622], 'c': [2.2241764040054144, 40978026.56, 2716611686.604546]}"
1672859400,"{'v': [2.2409574379297545, 41211448.93, 2737108061.2581363, 0.00013255405350005227, 161901.67749130103], 'c': [2.2409574379297545, 41211448.93, 2737108061.2581363]}"
1672860000,"{'v': [2.235954268403696, 41270344.78, 2730997184.0902653, 0.0001322491929641772, 161529.3204727429], 'c': [2.235954268403696, 41270344.78, 2730997184.0902653]}"
1672860900,"{'v': [2.2258919256479617, 41340278.38, 2718707026.764785, 0.00013231114813453155, 161604.9925909828], 'c': [2.2258919256479617, 41340278.38, 2718707026.764785]}"
1672861800,"{'v': [2.2221873383238337, 41346603.25, 2714182239.4319773, 0.00013194393099839104, 161156.47314721733], 'c': [2.2221873383238337, 41346603.25, 2714182239.4319773]}"
1672862700,"{'v': [2.2246323703242363, 41262704.97, 2717168604.4048514, 0.0001320745109276875, 161315.96362707493], 'c': [2.2246323703242363, 41262704.97, 2717168604.4048514]}"
1672863600,"{'v': [2.2275404813018223, 41338024.71, 2720720574.587354, 0.0001322649757687696, 161548.59760891157], 'c': [2.2275404813018223, 41338024.71, 2720720574.587354]}"
1672864500,"{'v': [2.2316519699884276, 40915961.03, 2725742351.724842, 0.00013252485702758277, 161866.01688534574], 'c': [2.2316519699884276, 40915961.03, 2725742351.724842]}"
1672865400,"{'v': [2.2340230293798586, 40620900.1, 2728638366.465757, 0.00013289433392040122, 162317.29639858642], 'c': [2.2340230293798586, 40620900.1, 2728638366.465757]}"
1672866300,"{'v': [2.2346054762180634, 40291583.55, 2729349767.72181, 0.00013291573564520114, 162343.43649053245], 'c': [2.2346054762180634, 40291583.55, 2729349767.72181]}"
1672866900,"{'v': [2.2342082289503273, 39949574.25, 2728864569.439848, 0.00013281552098310512, 162221.03418389487], 'c': [2.2342082289503273, 39949574.25, 2728864569.439848]}"
1672867800,"{'v': [2.228648683580926, 39853343.07, 2722074134.159838, 0.00013242490895919062, 161743.94019657292], 'c': [2.228648683580926, 39853343.07, 2722074134.159838]}"
1672868700,"{'v': [2.22342586527094, 39675106, 2715694977.707873, 0.0001321312750063468, 161385.2953397878], 'c': [2.22342586527094, 39675106, 2715694977.707873]}"
1672869600,"{'v': [2.219107391284118, 39503245.64, 2710420388.480251, 0.00013187589786745684, 161073.37740074715], 'c': [2.219107391284118, 39503245.64, 2710420388.480251]}"
1672870500,"{'v': [2.2205951100424404, 39581475.57, 2712237489.928662, 0.00013196090512277982, 161177.20536279224], 'c': [2.2205951100424404, 39581475.57, 2712237489.928662]}"
1672871400,"{'v': [2.226869387999772, 39594258, 2719900900.435669, 0.00013226793663706276, 161552.21401694164], 'c': [2.226869387999772, 39594258, 2719900900.435669]}"
1672872300,"{'v': [2.2409763096611037, 39709585.51, 2737131111.2130938, 0.00013306107470109597, 162520.95378504784], 'c': [2.2409763096611037, 39709585.51, 2737131111.2130938]}"
1672873200,"{'v': [2.2390848245728403, 39818960.57, 2734820849.092445, 0.0001328987184948666, 162322.6517230166], 'c': [2.2390848245728403, 39818960.57, 2734820849.092445]}"
1672873800,"{'v': [2.2383158058698887, 39801111.93, 2733881568.740449, 0.00013285307413204512, 162266.90164436048], 'c': [2.2383158058698887, 39801111.93, 2733881568.740449]}"
1672874700,"{'v': [2.2406448611862553, 39833135.7, 2736726279.6544733, 0.00013295050776752272, 162385.90720180192], 'c': [2.2406448611862553, 39833135.7, 2736726279.6544733]}"
1672875600,"{'v': [2.23966462596407, 39797911.8, 2735529019.1964383, 0.0001327467820838185, 162137.07641112554], 'c': [2.23966462596407, 39797911.8, 2735529019.1964383]}"
1672876500,"{'v': [2.2403363373889107, 39337182.37, 2736349448.32403, 0.00013280434304180832, 162207.3814331938], 'c': [2.2403363373889107, 39337182.37, 2736349448.32403]}"
1672877400,"{'v': [2.238546364452102, 39393764.2, 2734163173.2650537, 0.00013274079381936385, 162129.76233784852], 'c': [2.238546364452102, 39393764.2, 2734163173.2650537]}"
1672878300,"{'v': [2.229772655752124, 39398102.22, 2723446955.097151, 0.00013210264266816886, 161350.3237681224], 'c': [2.229772655752124, 39398102.22, 2723446955.097151]}"
1672879200,"{'v': [2.227192887667054, 39438466.52, 2720296023.31134, 0.0001320641257014359, 161303.27909946625], 'c': [2.227192887667054, 39438466.52, 2720296023.31134]}"
1672880100,"{'v': [2.2282833112406726, 39378634.6, 2721627867.951948, 0.00013225191750733476, 161532.64823297324], 'c': [2.2282833112406726, 39378634.6, 2721627867.951948]}"
1672880700,"{'v': [2.227013868541112, 39387850.82, 2720077369.139493, 0.0001322028424400986, 161472.70788789334], 'c': [2.227013868541112, 39387850.82, 2720077369.139493]}"
1672881600,"{'v': [2.2272428615015976, 38954563.78, 2720357061.411871, 0.00013233204564036563, 161630.51682928848], 'c': [2.2272428615015976, 38954563.78, 2720357061.411871]}"
1672882500,"{'v': [2.2291345494625623, 38865435.14, 2722667571.3214765, 0.0001322564570734619, 161538.19286440217], 'c': [2.2291345494625623, 38865435.14, 2722667571.3214765]}"
1672883400,"{'v': [2.2334533078476126, 38920400.86, 2727942507.9134307, 0.00013252390941469145, 161864.85946984118], 'c': [2.2334533078476126, 38920400.86, 2727942507.9134307]}"
1672884300,"{'v': [2.234521669740722, 38833206.97, 2729247406.39141, 0.00013268933929760126, 162066.91572419988], 'c': [2.234521669740722, 38833206.97, 2729247406.39141]}"
1672885200,"{'v': [2.2277943903118933, 38728971.14, 2721030699.3521214, 0.00013229559069641926, 161585.9907176991], 'c': [2.2277943903118933, 38728971.14, 2721030699.3521214]}"
1672886100,"{'v': [2.221959446173967, 38498786.64, 2713903891.690989, 0.00013190808136840954, 161112.6863668195], 'c': [2.221959446173967, 38498786.64, 2713903891.690989]}"
1672887000,"{'v': [2.2233926970619846, 38551439.35, 2715654466.0182834, 0.0001319804860061477, 161201.12147686278], 'c': [2.2233926970619846, 38551439.35, 2715654466.0182834]}"
1672887600,"{'v': [2.221943846180449, 38626934.48, 2713884837.8404827, 0.00013189236662013726, 161093.49235472063], 'c': [2.221943846180449, 38626934.48, 2713884837.8404827]}"
1672888500,"{'v': [2.2223564448715356, 38642555.19, 2714388786.369055, 0.00013196041036971648, 161176.60107081634], 'c': [2.2223564448715356, 38642555.19, 2714388786.369055]}"
1672889400,"{'v': [2.223982255440526, 38705199.8, 2716374553.3181024, 0.0001320965981761971, 161342.9410184896], 'c': [2.223982255440526, 38705199.8, 2716374553.3181024]}"
1672890300,"{'v': [2.2225358604341996, 38781274.32, 2714607924.7491827, 0.00013205217608124704, 161288.68381925506], 'c': [2.2225358604341996, 38781274.32, 2714607924.7491827]}"
1672891200,"{'v': [2.220943281649665, 38743505.53, 2712662747.1409163, 0.00013194717592588675, 161160.43650549286], 'c': [2.220943281649665, 38743505.53, 2712662747.1409163]}"
1672892100,"{'v': [2.221359469066098, 38725198.62, 2713171078.942865, 0.00013190628639862483, 161110.4939886046], 'c': [2.221359469066098, 38725198.62, 2713171078.942865]}"
