,date,value,avg_last_5
0,2023-01-05 03:35:00,0.26728963798154687,0.26728963798154687
1,2023-01-05 03:50:00,0.26744624440494996,0.2673679411932484
2,2023-01-05 04:05:00,0.2667418912252987,0.2671592578705985
3,2023-01-05 04:20:00,0.26694780055815914,0.26710639354248866
4,2023-01-05 04:35:00,0.2670254336531522,0.2670902015646214
5,2023-01-05 04:50:00,0.2670738278249388,0.2670470395332998
6,2023-01-05 05:05:00,0.26701940167070376,0.2669616709864505
7,2023-01-05 05:20:00,0.26654808236127275,0.2669229092136453
8,2023-01-05 05:35:00,0.2659784924641596,0.26672904759484545
9,2023-01-05 05:45:00,0.2657364428709915,0.26647124943841327
10,2023-01-05 06:00:00,0.26532775783292323,0.2661220354400101
11,2023-01-05 06:15:00,0.2659497518596152,0.2659081054777925
12,2023-01-05 06:30:00,0.26643771033436464,0.2658860310724108
13,2023-01-05 06:45:00,0.26645065259004996,0.26598046309758894
14,2023-01-05 07:00:00,0.266870458482681,0.2662072662199268
15,2023-01-05 07:15:00,0.26752617602435236,0.26664694985821263
16,2023-01-05 07:30:00,0.26935224057362467,0.2673274476010145
17,2023-01-05 07:40:00,0.26891224014509385,0.2678223535631604
18,2023-01-05 07:55:00,0.2687761388140246,0.26828745080795524
19,2023-01-05 08:10:00,0.26824688463141455,0.268562736037702
20,2023-01-05 08:25:00,0.2680703980080823,0.26867158043444805
21,2023-01-05 08:40:00,0.26666721775091573,0.2681345758699062
22,2023-01-05 08:55:00,0.2667618796313944,0.26770450376716637
23,2023-01-05 09:10:00,0.2669549941129708,0.2673402748269556
24,2023-01-05 09:25:00,0.2662746994759522,0.26694583779586306
25,2023-01-05 09:35:00,0.2657236123259754,0.26647648065944174
26,2023-01-05 09:50:00,0.26589841821573407,0.2663227207524054
27,2023-01-05 10:05:00,0.26671837651784785,0.26631402012969607
28,2023-01-05 10:20:00,0.2663233818488513,0.2661876976768721
29,2023-01-05 10:35:00,0.26595489903076985,0.2661237375878357
30,2023-01-05 10:50:00,0.26579819654791115,0.26613865443222284
31,2023-01-05 11:05:00,0.2655024088609822,0.26605945256127245
32,2023-01-05 11:20:00,0.2652597253073619,0.2657677223191753
33,2023-01-05 11:30:00,0.26557727756578214,0.2656185014625615
34,2023-01-05 11:45:00,0.2650526304972801,0.2654380477558635
35,2023-01-05 12:00:00,0.26430800171701435,0.26514000878968413
36,2023-01-05 12:15:00,0.2652713157451092,0.2650937901665096
37,2023-01-05 12:30:00,0.26560178652277916,0.265162202409593
38,2023-01-05 12:45:00,0.2659479797688101,0.2652363428501986
39,2023-01-05 13:00:00,0.2660081667122558,0.2654274500931938
40,2023-01-05 13:15:00,0.2657751878430706,0.265720887318405
41,2023-01-05 13:25:00,0.26526982839351615,0.26572058984808633
42,2023-01-05 13:40:00,0.26547826847597095,0.26569588623872475
43,2023-01-05 13:55:00,0.26625890824449844,0.26575807193386236
44,2023-01-05 14:10:00,0.2664016027811292,0.26583675914763705
45,2023-01-05 14:25:00,0.26624524500040847,0.26593077057910464
46,2023-01-05 14:40:00,0.26669755638513315,0.2662163161774281
47,2023-01-05 14:55:00,0.2669453017564864,0.2665097228335311
48,2023-01-05 15:10:00,0.2668438043587129,0.26662670205637407
49,2023-01-05 15:20:00,0.2665188336535965,0.2666501482308675
50,2023-01-05 15:35:00,0.26629811976337614,0.266660723183461
51,2023-01-05 15:50:00,0.2660740634031853,0.2665360245870715
52,2023-01-05 16:05:00,0.265516131552073,0.2662501905461888
53,2023-01-05 16:20:00,0.2668739853439192,0.2662562267432301
54,2023-01-05 16:35:00,0.2663204919551292,0.2662165584035366
55,2023-01-05 16:50:00,0.2653626161125766,0.2660294576733767
56,2023-01-05 17:05:00,0.2667216690331268,0.2661589787993649
57,2023-01-05 17:15:00,0.2667172606092214,0.26639920461079464
58,2023-01-05 17:30:00,0.2662525597740245,0.2662749194968157
59,2023-01-05 17:45:00,0.26642710174191453,0.26629624145417274
60,2023-01-05 18:00:00,0.26585037515342724,0.2663937932623429
61,2023-01-05 18:15:00,0.26594363787334385,0.2662381870303863
62,2023-01-05 18:30:00,0.2651447898476977,0.2659236928780816
63,2023-01-05 18:45:00,0.2656632607864965,0.2658058330805759
64,2023-01-05 19:00:00,0.2655672732089067,0.2656338673739744
65,2023-01-05 19:10:00,0.265769106481899,0.26561761363966874
66,2023-01-05 19:25:00,0.26553799241517717,0.2655364845480354
67,2023-01-05 19:40:00,0.26564944785637773,0.26563741614977143
68,2023-01-05 19:55:00,0.26564070493076414,0.26563290497862496
69,2023-01-05 20:10:00,0.26602440654203663,0.265724331645251
70,2023-01-05 20:25:00,0.2668509910058896,0.2659407085500491
71,2023-01-05 20:40:00,0.266547335110926,0.2661425770891988
72,2023-01-05 20:55:00,0.26685835336923935,0.26638435819177114
73,2023-01-05 21:05:00,0.2673192905375863,0.2667200753131356
74,2023-01-05 21:20:00,0.2679905403475467,0.26711330207423756
75,2023-01-05 21:35:00,0.2682285941299479,0.2673888226990493
76,2023-01-05 21:50:00,0.2692248381812034,0.2679243233131047
77,2023-01-05 22:05:00,0.2692095665948705,0.26839456595823097
78,2023-01-05 22:20:00,0.26948845415849376,0.26882839868241243
79,2023-01-05 22:35:00,0.26947047089979703,0.2691243847928625
80,2023-01-05 22:50:00,0.26987930675429095,0.2694545273177311
81,2023-01-05 23:05:00,0.26991940797698905,0.2695934412768882
82,2023-01-05 23:15:00,0.2699836856811953,0.26974826509415323
83,2023-01-05 23:30:00,0.26925789274569734,0.26970215281159393
